latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),sunrise (iso8601),sunset (iso8601)
2023-01-01,15.9,11.5,2023-01-01T07:17,2023-01-01T15:02
2023-01-02,14.7,9.5,2023-01-02T07:16,2023-01-02T15:03
2023-01-03,9.1,2.6,2023-01-03T07:16,2023-01-03T15:04
2023-01-04,10.7,3.4,2023-01-04T07:16,2023-01-04T15:05
2023-01-05,10.0,4.7,2023-01-05T07:16,2023-01-05T15:06
2023-01-06,10.1,3.5,2023-01-06T07:15,2023-01-06T15:08
2023-01-07,9.8,5.6,2023-01-07T07:15,2023-01-07T15:09
2023-01-08,8.3,5.8,2023-01-08T07:14,2023-01-08T15:10
2023-01-09,7.9,3.7,2023-01-09T07:14,2023-01-09T15:12
2023-01-10,7.6,3.7,2023-01-10T07:13,2023-01-10T15:13
2023-01-11,8.3,4.1,2023-01-11T07:12,2023-01-11T15:15
2023-01-12,10.0,5.7,2023-01-12T07:12,2023-01-12T15:16
2023-01-13,9.6,7.4,2023-01-13T07:11,2023-01-13T15:18
2023-01-14,8.3,6.6,2023-01-14T07:10,2023-01-14T15:19
2023-01-15,9.1,5.1,2023-01-15T07:09,2023-01-15T15:21
2023-01-16,7.0,2.8,2023-01-16T07:08,2023-01-16T15:22
2023-01-17,4.5,-0.6,2023-01-17T07:07,2023-01-17T15:24
2023-01-18,2.5,-3.0,2023-01-18T07:07,2023-01-18T15:26
2023-01-19,1.0,-3.9,2023-01-19T07:05,2023-01-19T15:27
2023-01-20,1.6,-0.9,2023-01-20T07:04,2023-01-20T15:29
2023-01-21,3.3,-1.0,2023-01-21T07:03,2023-01-21T15:31
2023-01-22,2.1,0.9,2023-01-22T07:02,2023-01-22T15:32
2023-01-23,2.8,0.2,2023-01-23T07:01,2023-01-23T15:34
2023-01-24,1.3,-0.1,2023-01-24T06:59,2023-01-24T15:36
2023-01-25,2.3,0.0,2023-01-25T06:58,2023-01-25T15:38
2023-01-26,-0.2,-1.0,2023-01-26T06:57,2023-01-26T15:40
2023-01-27,3.3,-0.5,2023-01-27T06:55,2023-01-27T15:42
2023-01-28,2.2,-0.9,2023-01-28T06:54,2023-01-28T15:43
2023-01-29,3.0,-1.0,2023-01-29T06:52,2023-01-29T15:45
2023-01-30,5.8,1.1,2023-01-30T06:51,2023-01-30T15:47
2023-01-31,5.7,2.3,2023-01-31T06:49,2023-01-31T15:49
2023-02-01,5.6,2.5,2023-02-01T06:48,2023-02-01T15:51
2023-02-02,6.1,0.2,2023-02-02T06:46,2023-02-02T15:53
2023-02-03,8.3,0.7,2023-02-03T06:44,2023-02-03T15:55
